name,quantity,cold,location,comment
eggs,1,yes,2,
milk,1,yes,2,
beer,2,?,?,
cheese,2,yes,7,
mixed nuts,1,no,1,
toothpaste,1,no,5,
toothebrush,1,no,5,
deoderant,1,no,5,
floss,1,no,1,
soda,2,no,2,
tortillas,6,no,2,
tuna/bishul,10,no,11,
salmon [canned],10,no,7,
tristitoes,6,no,6,
coffe[in,2,no,6,
soy sauce,2,no,6,
corn starch,1,no,10,
pasta,12,no,10,
tomatoe blood,12,no,10,
spcies of Something,1,no,10,
olive oil,1,no,10,
vegetable oil,1,no,10,
plates [styrofoam],2,no,1,
cutlery,1,no,1,
cups [disposable],1,no,1,
toilet paper,1,no,1,
detergent,1,no,1,
rice crackers,12,no,3,
canned vegetables,20,no,10,
breakfast bars - nature valley,6,no,11,
breakfast bars - healthbars,14,no,11,
granola,2,no,11,
candles,5,no,11,
wine,6,no,11,
pita,1,no,12,
matzah,4,no,3,
munchies,?,?,?,
